2022/06/11 17:34:23 Error registering worker: parse "127.0.0.1:8091/api/0/registration": first path segment in URL cannot contain colon
2022/06/11 17:34:23 parse "127.0.0.1:8091/api/0/report": first path segment in URL cannot contain colon
2022/06/11 17:49:38 Error sending registration:  Post "http://exia.art:8091/api/0/registration": dial tcp 45.63.84.47:8091: i/o timeout
2022/06/11 18:04:51 Error registering worker -  403
2022/06/11 18:11:23 Error registering worker -  403
2022/06/11 18:11:59 Error registering worker -  403
2022/06/11 18:16:31 Error registering worker -  403
2022/06/11 18:20:42 Error registering worker -  403
2022/06/11 18:23:24 Error registering worker -  403
2022/06/11 18:24:02 Error registering worker -  403
2022/06/11 18:25:30 Error registering worker -  403
2022/06/11 18:27:17 Error registering worker -  403
2022/06/11 18:29:10 Error registering worker -  403
2022/06/11 18:31:03 Error registering worker -  403
2022/06/11 18:34:51 Error registering worker -  403
2022/06/11 18:35:59 Error registering worker -  403
